STATION,LATITUDE,LONGITUDE,NAME
89208099999,-90.0,0.0,"UNIVERSITY WI ID 8987 CLEAN AIR, AY"
89009099999,-90.0,0.0,"AMUNDSEN SCOTT, AY"
89108099999,-89.0,-1.0166666,"HENRY, AY"
89799099999,-89.0,89.6666666,"NICO, AY"
89314099999,-84.6,-115.8166666,"THERESA, AY"
89873099999,-83.1333333,174.1666666,"ELAINE, AY"
89332099999,-82.6166666,-137.0833333,"ELIZABETH, AY"
89377099999,-82.5166666,-174.45,"LETTAU, AY"
89345099999,-81.65,-148.7833333,"SIPLE DOME, AY"
89324099999,-80.0,-119.4,"BYRD STATION, AY"
89376099999,-79.9833333,-178.6,"GILL, AY"
89869099999,-79.95,165.1166666,"MARILYN, AY"
89868099999,-79.9,169.9833333,"SCHWERDTFEGER, AY"
89768099999,-78.55,166.65,"MINNA BLUFF, AY"
89769099999,-78.4666666,168.3833333,"LINDA, AY"
89606099999,-78.45,106.8666666,"VOSTOK, AY"
89667099999,-77.95,166.5,"PEGASUS NORTH, AY"
89674099999,-77.867358,167.056572,"WILLIAMS FIELD, AY"
89034099999,-77.8666666,-34.6166666,"BASE BELGRANO II, AY"
89664099999,-77.85,166.667,"MCMURDO, AY"
89866099999,-77.4333333,163.75,"MARBLE POINT, AY"
89666099999,-76.7166666,162.9666666,"CAPE ROSS, AY"
89865099999,-76.1333333,168.3833333,"WHITLOCK, AY"
89257099999,-75.8666666,-59.15,"UNIVERSITY WI ID 8925 LIMBERT AWS, AY"
89022099999,-75.61,-26.2722222,"HALLEY, AY"
89828099999,-75.1166666,123.3666666,"DOME C II, AY"
89864099999,-74.95,163.6833333,"MANUELA, AY"
89272099999,-74.8,-71.4833333,"UNIVERSITY WI ID 8917 SKI BLU, AY"
89805099999,-74.133,109.833,"CASEY GC 46 AWS, AY"
89744099999,-74.0166666,43.05,"RELAY STAT, AY"
89757099999,-73.8333333,55.6666666,"MAWSON LGB 20 AWS, AY"
89327099999,-73.2,-127.05,"MOUNT SIPLE, AY"
89014099999,-73.05,-13.3833333,"NORDENSKIOLD BASE, AY"
89266099999,-72.2,-60.1666666,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY"
89504099999,-72.0166666,2.5333333,"TROLL IN ANTARKTIS, AY"
89879099999,-71.8833333,171.2,"POSSESSION IS, AY"
89004099999,-71.7,-2.8,"S.A.N.A.E. AWS, AY"
89813099999,-71.6,111.2666666,"CASEY TRAVERSE GC41, AY"
89264099999,-71.4333333,-68.9333333,"UNIVERSITY WI ID 8920 URANUS, AY"
89758099999,-71.3,59.2166666,"MAWSON LGB10 AWS, AY"
89514099999,-70.7666666,11.75,"MAITRI, AY"
89512099999,-70.7666666,11.8333333,"NOVOLAZAREVSKAJA, AY"
89002099999,-70.6666666,-8.25,"NEUMAYER, AY"
89573099999,-69.3666666,76.3666666,"ZHONGSHAN, AY"
89532099999,-69.0,39.5833333,"SYOWA, AY"
89571099999,-68.5833333,77.9666666,"DAVIS, AY"
89066099999,-68.1166666,-67.1333333,"BASE SAN MARTIN, AY"
89564099999,-67.6,62.8666666,"MAWSON, AY"
89062099999,-67.5666666,-68.1166666,"ROTHERA, AY"
89262099999,-67.0166666,-61.4666666,"UNIVERSITY WI ID 8926 LARSEN ICE SHELF, AY"
89642099999,-66.6666666,140.0166666,"DUMONT D URVILLE, AY"
89592099999,-66.55,93.0166666,"MIRNYJ, AY"
89611099999,-66.2833333,110.5333333,"CASEY, AY"
89269099999,-64.7833333,-64.0666666,"BONAPARTE POINT, AY"
89055099999,-64.2333333,-56.7166666,"BASE MARAMBIO CENTRO MET. ANTARTICO, AY"
89261099999,-64.0666666,-61.6166666,"UNIVERSITY WI ID 8947 RACER ROCK, AY"
88963099999,-63.4,-56.9833333,"BASE ESPERANZA, AY"
89059099999,-63.3166666,-56.6833333,"BASE BERNARDO O HIGGINS, AY"
89057099999,-62.5,-59.6833333,"BASE ARTURO PRAT, AY"
89053099999,-62.2333333,-58.6333333,"BASE CARLINI, AY"
