台风编号,台风中文名称,台风英文名称,台风起始时间,台风结束时间,当前台风时间,经度,纬度,台风强度,台风等级,风速,气压,移动方向,移动速度,海洋温度,表面海温,最近气象站,SLP,WDSP
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-08T08:00:00,140.6,9.1,台风(TY),12.0,35.0,970.0,西北偏西,12.0,299.9,28.923506,98752099999,1010.4,3.9
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-08T14:00:00,139.8,8.8,台风(TY),13.0,40.0,960.0,西北偏西,15.0,299.9,28.988525,98752099999,1010.4,3.9
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-09T08:00:00,138.0,9.1,强台风(STY),14.0,45.0,950.0,西北偏西,12.0,300.63,28.926447,98752099999,1010.1,3.9
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-09T14:00:00,137.2,9.5,强台风(STY),14.0,45.0,950.0,西北偏西,15.0,301.59998,28.881971,91413040308,991.6,31.8
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-09T20:00:00,136.5,9.8,强台风(STY),15.0,50.0,940.0,西北偏西,13.0,301.93,28.850304,98653099999,1009.6,1.4
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-10T02:00:00,135.8,10.2,强台风(STY),15.0,50.0,940.0,西北偏西,13.0,301.66,28.850039,98648099999,1009.3,3.1
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-10T08:00:00,135.2,10.8,强台风(STY),15.0,50.0,940.0,西北,15.0,301.66,28.850039,98637099999,1009.9,3.9
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-10T14:00:00,134.4,11.3,强台风(STY),15.0,50.0,940.0,西北,15.0,301.66,28.801,98550099999,1008.5,3.2
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-10T20:00:00,133.6,11.8,强台风(STY),15.0,50.0,940.0,西北,16.0,301.88,28.754393,98526099999,1009.9,1.0
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-11T02:00:00,132.9,12.5,强台风(STY),15.0,50.0,940.0,西北,14.0,301.88,28.624527,98546099999,1010.1,6.9
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-11T08:00:00,132.4,13.2,强台风(STY),14.0,45.0,950.0,西北,13.0,301.88,28.56154,98431099999,1009.4,1.9
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-11T14:00:00,131.6,13.5,强台风(STY),14.0,45.0,950.0,西北,15.0,301.75,28.447296,98446099999,1008.7,5.1
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-11T20:00:00,131.3,14.1,强台风(STY),14.0,45.0,950.0,西北偏北,13.0,301.75,28.282917,98435099999,1009.4,3.1
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-12T02:00:00,131.2,14.8,强台风(STY),14.0,45.0,950.0,偏北,13.0,301.75,28.282917,98426099999,1009.1,8.0
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-12T08:00:00,131.0,15.5,强台风(STY),14.0,45.0,950.0,偏北,13.0,301.13,28.17603,98330099999,1008.7,1.9
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-12T14:00:00,130.9,15.6,强台风(STY),14.0,45.0,950.0,偏北,14.0,301.13,28.178413,98330099999,1008.7,1.9
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-12T20:00:00,131.0,16.1,强台风(STY),14.0,45.0,950.0,东北偏北,15.0,301.13,28.195673,98336099999,1008.0,2.9
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-13T02:00:00,131.2,16.8,强台风(STY),14.0,45.0,950.0,东北偏北,15.0,301.13,28.195673,47853099999,9999.9,4.1
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-13T08:00:00,131.6,17.2,强台风(STY),14.0,45.0,950.0,东北,16.0,300.08002,28.181782,47853099999,9999.9,4.1
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-13T14:00:00,132.0,17.8,强台风(STY),14.0,45.0,950.0,东北,19.0,300.08002,28.226372,98233099999,1008.2,3.4
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-13T20:00:00,132.5,18.6,强台风(STY),14.0,45.0,950.0,东北,22.0,300.5,27.896238,47882099999,9999.9,6.7
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-14T02:00:00,133.1,19.5,强台风(STY),14.0,45.0,950.0,东北,25.0,298.93,27.54051,47895099999,1013.0,5.5
200401,苏特,SUDAL,2004-04-08 08:00:00,2004-04-16T14:00:00,2004-04-14T14:00:00,134.9,21.4,台风(TY),13.0,40.0,960.0,东北,27.0,297.53,26.284494,47618099999,1013.4,3.5
