台风编号,台风中文名称,台风英文名称,台风起始时间,台风结束时间,当前台风时间,经度,纬度,台风强度,台风等级,风速,气压,移动方向,移动速度,海洋温度
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-05T08:00:00,136.0,9.6,热带低压(TD),7.0,15.0,1004.0,,,300.8
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-05T14:00:00,135.0,9.9,热带低压(TD),7.0,15.0,1004.0,,,300.25
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-05T20:00:00,134.4,10.2,热带低压(TD),7.0,15.0,1004.0,,,300.25
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-06T02:00:00,133.7,10.7,热带低压(TD),7.0,15.0,1002.0,,,300.7
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-06T08:00:00,133.0,11.1,热带低压(TD),7.0,15.0,1002.0,,,300.7
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-06T14:00:00,132.3,11.8,热带低压(TD),7.0,15.0,1002.0,,,301.3
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-06T20:00:00,132.1,12.5,热带低压(TD),7.0,15.0,1000.0,,,301.89
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-07T02:00:00,131.8,13.0,热带低压(TD),7.0,15.0,1000.0,,,301.89
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-07T08:00:00,131.6,13.2,热带风暴(TS),8.0,20.0,995.0,,,301.89
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-07T14:00:00,131.3,13.4,强热带风暴(STS),10.0,25.0,985.0,,,302.02002
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-07T20:00:00,131.2,13.7,强热带风暴(STS),10.0,28.0,980.0,,,302.02002
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-08T02:00:00,131.3,13.8,强热带风暴(STS),11.0,30.0,980.0,,,302.02002
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-08T08:00:00,131.5,14.0,台风(TY),12.0,33.0,975.0,,,302.02002
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-08T14:00:00,132.0,14.3,台风(TY),12.0,35.0,970.0,,,302.02002
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-08T20:00:00,132.4,14.6,台风(TY),12.0,35.0,970.0,,,301.95
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-09T02:00:00,133.0,15.1,台风(TY),13.0,40.0,965.0,,,301.95
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-09T08:00:00,133.5,15.6,强台风(STY),14.0,45.0,955.0,,,302.27002
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-09T14:00:00,134.4,16.4,强台风(STY),15.0,50.0,945.0,,,302.05
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-09T20:00:00,135.3,17.3,强台风(STY),15.0,50.0,940.0,,,301.87
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-10T02:00:00,136.0,18.7,强台风(STY),15.0,50.0,935.0,,,301.82
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-10T08:00:00,136.8,19.5,强台风(STY),15.0,50.0,935.0,,,300.77002
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-10T14:00:00,137.8,20.8,强台风(STY),14.0,45.0,945.0,,,300.77002
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-10T20:00:00,138.8,22.2,台风(TY),13.0,40.0,955.0,,,299.5
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-11T02:00:00,139.5,23.0,台风(TY),13.0,40.0,955.0,,,297.39
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-11T08:00:00,139.9,23.7,台风(TY),12.0,35.0,965.0,,,297.7
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-11T14:00:00,141.1,25.1,强热带风暴(STS),11.0,30.0,975.0,,,295.37
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-11T20:00:00,142.0,26.0,强热带风暴(STS),10.0,28.0,980.0,,,295.52002
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-12T02:00:00,143.5,26.9,强热带风暴(STS),10.0,25.0,980.0,,,293.65
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-12T08:00:00,145.9,27.7,热带风暴(TS),8.0,20.0,990.0,,,293.77002
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-12T14:00:00,147.9,28.3,热带风暴(TS),8.0,18.0,995.0,,,294.09998
200001,达维,DAMREY,2000-05-05 08:00:00,2000-05-12T20:00:00,2000-05-12T20:00:00,149.5,28.4,热带低压(TD),7.0,15.0,998.0,,,294.52002
200002,龙王,LONGWANG,2000-05-17 20:00:00,2000-05-21T08:00:00,2000-05-17T20:00:00,119.2,16.0,,5.0,10.0,1002.0,,,300.05
200002,龙王,LONGWANG,2000-05-17 20:00:00,2000-05-21T08:00:00,2000-05-18T02:00:00,120.5,16.1,热带低压(TD),6.0,12.0,1000.0,,,300.05
200002,龙王,LONGWANG,2000-05-17 20:00:00,2000-05-21T08:00:00,2000-05-18T08:00:00,121.2,16.2,热带低压(TD),6.0,12.0,1000.0,,,299.62
200002,龙王,LONGWANG,2000-05-17 20:00:00,2000-05-21T08:00:00,2000-05-18T14:00:00,122.5,17.9,热带低压(TD),6.0,12.0,998.0,,,300.09998
200002,龙王,LONGWANG,2000-05-17 20:00:00,2000-05-21T08:00:00,2000-05-18T20:00:00,123.3,19.0,热带低压(TD),6.0,12.0,998.0,,,300.75
200002,龙王,LONGWANG,2000-05-17 20:00:00,2000-05-21T08:00:00,2000-05-19T02:00:00,124.5,20.4,热带低压(TD),7.0,15.0,998.0,,,300.57
200002,龙王,LONGWANG,2000-05-17 20:00:00,2000-05-21T08:00:00,2000-05-19T08:00:00,125.5,21.3,热带风暴(TS),8.0,20.0,995.0,,,299.07
200002,龙王,LONGWANG,2000-05-17 20:00:00,2000-05-21T08:00:00,2000-05-19T14:00:00,126.9,22.3,热带风暴(TS),8.0,20.0,995.0,,,299.15
200002,龙王,LONGWANG,2000-05-17 20:00:00,2000-05-21T08:00:00,2000-05-19T20:00:00,128.6,23.2,热带风暴(TS),8.0,20.0,995.0,,,297.45
200002,龙王,LONGWANG,2000-05-17 20:00:00,2000-05-21T08:00:00,2000-05-20T02:00:00,130.8,24.7,热带风暴(TS),9.0,23.0,990.0,,,297.3
200002,龙王,LONGWANG,2000-05-17 20:00:00,2000-05-21T08:00:00,2000-05-20T08:00:00,135.0,26.4,热带风暴(TS),8.0,20.0,995.0,,,296.19
