STATION,LATITUDE,LONGITUDE,NAME
93439099999,-41.3333333,174.8,"WELLINGTON AERO AWS, NZ"
69375499999,,,
71770099999,49.0833333,-116.5,"CRESTON CAMPBELL SCIENTIFIC BC, CA"
2226099999,63.2,14.5,"OSTERSUND, SW"
36870099999,43.2333333,76.9333333,"ALMATY, KZ"
72483899999,39.1,-121.567,"YUBA CO, CA US"
69810499999,24.25,54.55,"AL DHAFRA, AE"
38507099999,40.0333333,52.9833333,"TURKMENBASHI, TX"
58477099999,30.0333333,122.1166666,"DINGHAI, CH"
4221099999,69.2333333,-51.0666666,"ILULISSAT JAKOBSHAVN, GL"
15040099999,47.533,25.567,"CIMPULUNG MOLDOVENE, RO"
12375099999,52.16575,20.967122,"OKECIE, PL"
60230099999,31.606886,-8.0363,"MENARA, MO"
17098099999,40.562222,43.115002,"KARS, TU"
72548514940,43.1544,-93.32611,"MASON CITY MUNICIPAL AIRPORT, IA US"
84688099999,-13.706408,-73.350378,"ANDAHUAYLAS, PE"
93196099999,-37.55,178.3,"HICKS BAY AWS, NZ"
94579099999,-27.383,153.117,"BRISBANE ARPT02 AWS, AS"
94840099999,-38.0666666,142.7666666,"MORTLAKE RACECOURSE, AS"
1241099999,63.698908,9.604003,"ORLAND, NO"
51716099999,39.8,78.5666666,"BACHU, CH"
11916099999,48.9833333,19.6,"CHOPOK, LO"
3040099999,56.767,-6.05,"KILMORY, UK"
3577099999,52.361933,0.486406,"MILDENHALL, UK"
78795099999,8.085597,-80.945253,"RUBEN CANTU, PM"
72308399999,36.698,-76.904,"FRANKLIN MUNICIPAL JB ROS, VA US"
71377099999,45.4166666,-73.9166666,"STE ANNE DE BELLEVUE 1 QUE, CA"
23527099999,64.2833333,60.8833333,"SARAN PAUL, RS"
72494523293,37.35938,-121.92444,"SAN JOSE, CA US"
1403099999,59.3,4.8666666,"UTSIRA FYR, NO"
62680099999,17.7,33.9666667,"ATBARA, SU"
72410799999,36.767,-80.817,"TWIN CO, VA US"
72340899999,35.967,-89.933,"ARKANSAS INTERNATIONAL, AR US"
71733099999,46.633333,-80.8,"SUDBURY CLIMATE, CA"
69182499999,,,
72378399999,35.95,-112.133,"GRAND CANYON NATIONAL P, AZ US"
15469099999,44.1,24.3666666,"CARACAL, RO"
52267099999,41.95,101.0666666,"EJIN QI, CH"
71775099999,49.2,-122.6833333,"PITT MEADOWS CAMPBELL SCIENTIFIC BC, CA"
64605099999,5.2666666,17.6333333,"BOSSEMBELE, CT"
41431099999,14.753,42.976336,"HODEIDAH, YM"
47809099999,33.65,130.7,"IIZUKA, JA"
94675099999,-34.9166666,138.6166666,"KENT TOWN, AS"
87938099999,-54.843278,-68.29575,"USHUAIA MALVINAS ARGENTINAS, AR"
56444099999,28.45,98.8833333,"DEQEN, CH"
30844099999,51.35,110.4666666,"HILOK, RS"
69356499999,37.7522,127.0255,"CAMP RED CLOUD, KS"
67197099999,-25.038056,46.956111,"TOLAGNARO, MA"
30875099999,51.583,118.467,"TAJNA, RS"
72409399999,38.683,-75.367,"SUSSEX CO, DE US"
6465099999,51.0,5.0666667,"SCHAFFEN, BE"
72308693741,37.13216,-76.49399,"NEWPORT NEWS INTERNATIONAL AIRPORT, VA US"
72493799999,37.461,-122.115,"PALO ALTO AIRPORT OF SA, CA US"
94238099999,-19.6333333,134.1833333,"TENNANT CREEK AIRPORT, AS"
68651099999,-31.3333333,27.85,"ELLIOT, SF"
61497099999,16.622,-7.316567,"NEMA, MR"
12465099999,51.7333333,19.4,"LODZ, PL"
87896099999,-47.735292,-65.904097,"PUERTO DESEADO, AR"
72476999999,40.45,-105.017,"FORT COLLINS AWOS, CO US"
35302099999,50.2,51.1666666,"CHAPAEVO, KZ"
94865099999,-37.8666666,144.75,"LAVERTON RAAF, AS"
72290993115,32.56797,-117.11715,"IMPERIAL BEACH REAM FIELD NAS, CA US"
98444099999,13.157064,123.746247,"LEGAZPI, RP"
47090099999,38.25087,128.564728,"SOKCHO, KS"
71033499999,57.25,-122.72,"SIKANNI CHIEF B. C., CA"
17330099999,36.3833333,33.9333333,"SILIFKE, TU"
15421099999,44.570992,26.085119,"HENRI COANDA, RO"
71909499999,62.85,-69.8833333,"KIMMIRUT A NWT, CA"
63654099999,1.6833333,31.7166667,"MASINDI, UG"
13493099999,42.2,22.3333333,"KRIVA PALANKA, MK"
76843099999,16.75,-93.1333333,"TUXTLA GUTIERREZ CHIS., MX"
3953099999,51.9333333,-10.25,"VALENTIA OBSERVATORY, EI"
84686099999,-13.535722,-71.938781,"TENIENTE ALEJANDRO VELASCO ASTETE INTERNATIONAL, PE"
40250099999,32.539217,38.194986,"H4, JO"
14246099999,46.294724,16.38125,"VARAZDIN, HR"
63333099999,11.0833333,39.7166667,"COMBOLCHA DESSIE, ET"
94384099999,-24.15,151.8833333,"SEVENTEEN SEVENTY, AS"
40296099999,31.0333333,35.4666666,"GHOR SAFI, JO"
53975099999,35.4833333,112.4,"YANGCHENG, CH"
33415099999,49.5333333,25.6666666,"TERNOPIL, UP"
71055099999,67.0213889,-126.123055,"COLVILLE LAKE NWT, CA"
47930099999,26.195814,127.645869,"NAHA, JA"
40723099999,37.493003,57.308389,"BOJNORD, IR"
51818099999,37.6166666,78.2833333,"PISHAN, CH"
56946099999,23.55,99.4,"GENGMA, CH"
95952099999,-41.85,145.5333333,"MOUNT READ, AS"
87934099999,-53.777667,-67.749389,"RIO GRANDE, AR"
87715099999,-38.949,-68.155711,"PRESIDENTE PERON, AR"
6239099999,54.85,4.7333333,"F3 NETHERLANDS, NL"
