台风编号,台风时间,台风经度,台风纬度,采样点经度,采样点纬度,距离(公里),降雨量(mm/day)
201714,2017-08-26T16:00:00,118.1,18.5,107.49080237694724,31.118528947223794,1759.593706224173,0.02
201714,2017-08-26T16:00:00,118.1,18.5,119.01428612819832,26.39493860652042,879.3054568125995,7.56
201714,2017-08-26T16:00:00,118.1,18.5,114.6398788362281,27.92144648535218,1101.6873376565136,1.82
201714,2017-08-26T16:00:00,118.1,18.5,111.97316968394074,28.663618432936918,1287.085578591273,2.94
201714,2017-08-26T16:00:00,118.1,18.5,103.12037280884873,29.560699842170358,1951.723922123748,7.16
201714,2017-08-26T16:00:00,118.1,18.5,103.11989040672405,32.851759613930135,2183.378991729704,2.79
201714,2017-08-26T16:00:00,118.1,18.5,101.161672243364,26.996737821583597,1974.9306565658326,3.53
201714,2017-08-26T16:00:00,118.1,18.5,117.3235229154987,30.142344384136116,1291.9618413454298,0.0
201714,2017-08-26T16:00:00,118.1,18.5,112.02230023486418,30.924145688620424,1506.563902127916,0.0
201714,2017-08-26T16:00:00,118.1,18.5,114.1614515559209,25.464504127199977,871.7025464575978,19.52
201714,2017-08-26T16:00:00,118.1,18.5,100.41168988591605,31.075448519014383,2261.4801587600155,1.32
201714,2017-08-26T16:00:00,118.1,18.5,119.39819704323989,26.705241236872915,918.3737497753298,10.92
201714,2017-08-26T16:00:00,118.1,18.5,116.64885281600843,25.650515929852794,805.8063715740296,3.21
201714,2017-08-26T16:00:00,118.1,18.5,104.24678221356552,34.48885537253334,2241.053345075947,13.76
201714,2017-08-26T16:00:00,118.1,18.5,103.63649934414201,34.656320330745594,2292.2420520312535,13.46
201714,2017-08-26T16:00:00,118.1,18.5,103.66809019706868,33.08397348116461,2164.3110505098184,4.31
201714,2017-08-26T16:00:00,118.1,18.5,106.08484485919075,28.046137691733705,1619.4720058320042,0.8
201714,2017-08-26T16:00:00,118.1,18.5,110.49512863264476,25.976721140063837,1139.584254118071,8.99
201714,2017-08-26T16:00:00,118.1,18.5,108.63890037284231,31.842330265121568,1757.0080491012877,0.03
201714,2017-08-26T16:00:00,118.1,18.5,105.82458280396084,29.40152493739601,1735.1494453239025,0.06
201216,2012-09-15T11:00:00,128.9,22.9,107.49080237694724,31.118528947223794,2306.355135998303,0.21
201216,2012-09-15T11:00:00,128.9,22.9,119.01428612819832,26.39493860652042,1072.6196999504298,0.01
201216,2012-09-15T11:00:00,128.9,22.9,114.6398788362281,27.92144648535218,1537.4448850006277,0.0
